dim,prox,end_time,n_train,tol,alpha_auc,alphas_auc_no_diag,estimation_error,estimation_error_no_diag,kendall,kendall_no_diag
30,l1,5000,30,1e-10,0.6224232079817146,0.6242303496876668,8.452364402051519,8.62467666760527,0.13593757369560322,0.1332712337458013
30,l1w,5000,30,1e-10,0.7404821777913952,0.7507321018753944,0.5257023349433348,0.4872182658615006,0.38817042732836404,0.4056232835923817
30,nuclear,5000,30,1e-07,0.9876364810975016,0.9915112630051656,0.07048718977996371,0.06528883652262295,0.5288899135024862,0.512745007335351
30,dedicated_l1w_nuclear_1d,5000,30,1e-08,0.9887021440328336,0.9929254821023114,0.059746386936673,0.05381492999787881,0.5319785197078022,0.5159203993250596
30,dedicated_l1_nuclear_1d,5000,30,1e-08,0.9877472810661498,0.9917727832361976,0.06687994590173757,0.06150706791819301,0.5301770843339325,0.5141864074989464
30,l1,7000,30,1e-10,0.6415427935684559,0.6430425634693927,5.913806608921307,6.0281417169210645,0.16060708466248902,0.1569621969533463
30,l1w,7000,30,1e-10,0.7603133830052878,0.7691896491439174,0.5174725079114638,0.4785586791411083,0.4032559481219978,0.4194556868704093
30,nuclear,7000,30,1e-07,0.9895839518576311,0.993648003404101,0.05777677027974825,0.052458875759284686,0.5368186479674685,0.5203570311433016
30,dedicated_l1w_nuclear_1d,7000,30,1e-08,0.9911282437393468,0.9942082326228668,0.05209716530028592,0.04646900061982328,0.5433307626510047,0.5263265824606542
30,dedicated_l1_nuclear_1d,7000,30,1e-08,0.9896889723352392,0.9936300847886214,0.05562263197296844,0.050220496421522806,0.5408191053842529,0.5236663538679109
30,l1,10000,30,1e-10,0.6650888557161939,0.6666320828668391,4.165263300072092,4.235483918722588,0.18590854632045867,0.18119702313996489
30,l1w,10000,30,1e-10,0.7819938175280089,0.7884038328398083,0.5009006124131437,0.4622322132846345,0.4162020021445196,0.4296215778357106
30,nuclear,10000,30,1e-07,0.9914256302218296,0.9939634102743858,0.05143845221132627,0.04583940097514323,0.5487544632442742,0.5309761328185616
30,dedicated_l1w_nuclear_1d,10000,30,1e-08,0.9931880978903276,0.995605383257822,0.045246763676881546,0.040144261001485285,0.5545771227569425,0.5369909934517858
30,dedicated_l1_nuclear_1d,10000,30,1e-08,0.9917887881040656,0.9948014434294918,0.049911950993201074,0.04454517954719514,0.5510586545542702,0.5333805027983006
30,l1,15000,30,1e-10,0.6958983921930949,0.6966635843160234,2.7857089934209545,2.83710147034805,0.22119184348870616,0.21462545244312745
30,l1w,15000,30,1e-10,0.8054718815885208,0.8110844729747168,0.4456593276202112,0.4139502720367477,0.4278956558344605,0.4386218968928744
30,nuclear,15000,30,1e-07,0.993453578415422,0.9961341786036908,0.04525836717392349,0.041046758780905884,0.5552098399498671,0.5372399009813266
30,dedicated_l1w_nuclear_1d,15000,30,1e-08,0.9959517040393888,0.9973727647508136,0.03934477412045178,0.03476360734698253,0.5632465064793089,0.5446380859653221
30,dedicated_l1_nuclear_1d,15000,30,1e-08,0.9947461259596528,0.9961960654033823,0.043465804477181916,0.03919846735971751,0.5590910030692666,0.5403432170887004
30,l1,20000,30,1e-10,0.7186769003243639,0.7196154778471849,2.1149097402356647,2.1472901616811457,0.2429232473542169,0.23515646664732484
30,l1w,20000,30,1e-10,0.8216539715791547,0.8265664837311181,0.4089172272657711,0.3730729599793427,0.4350050625512356,0.44355241201119183
30,nuclear,20000,30,1e-07,0.9954629016053528,0.9964080151580154,0.04026939517579406,0.035900360523678385,0.5639356689034348,0.5446094788302797
30,dedicated_l1w_nuclear_1d,20000,30,1e-08,0.9974351529229578,0.9982060021694168,0.036210727471279285,0.03184933347514767,0.5720936057707701,0.5528984598454999
30,dedicated_l1_nuclear_1d,20000,30,1e-08,0.9960279854040142,0.997564180033692,0.039001735542223484,0.034616320331091695,0.5664125259012255,0.5470828113901824
