dim,prox,end_time,n_train,tol,alpha_auc,alphas_auc_no_diag,estimation_error,estimation_error_no_diag,kendall,kendall_no_diag
30,l1,5000,30,1e-10,0.00027384196342643616,0.00027384196342643616,0.0031622776601683803,0.0031622776601683803,2.3713737056616556e-06,0.00027384196342643616
30,l1w,5000,30,1e-10,2.3713737056616556e-06,1.1547819846894585e-05,0.00023713737056616557,0.00023713737056616557,7.49894209332456e-05,7.49894209332456e-05
30,nuclear,5000,30,1e-07,0.01154781984689458,0.01154781984689458,0.01154781984689458,0.01154781984689458,0.01154781984689458,0.01154781984689458
30,dedicated_l1w_nuclear_1d,5000,30,1e-08,"(5.6234132519034904e-15, 0.01154781984689458)","(1e-14, 0.01154781984689458)","(5.048065716667471e-09, 0.01154781984689458)","(4.371444812611089e-08, 0.01154781984689458)","(1e-13, 0.008165541721659756)","(3.162277660168379e-13, 0.01154781984689458)"
30,dedicated_l1_nuclear_1d,5000,30,1e-08,"(1e-15, 0.01154781984689458)","(1e-15, 0.01154781984689458)","(1.333521432163324e-10, 0.01154781984689458)","(1.333521432163324e-10, 0.01154781984689458)","(1e-15, 0.01154781984689458)","(1e-15, 0.01154781984689458)"
30,l1,7000,30,1e-10,0.0001,0.00036517412725483775,0.0027384196342643613,0.0031622776601683794,1.1547819846894583e-05,1.1547819846894583e-05
30,l1w,7000,30,1e-10,3.651741272548377e-06,6.493816315762114e-06,0.00027384196342643616,0.00027384196342643616,8.659643233600654e-05,8.659643233600654e-05
30,nuclear,7000,30,1e-07,0.011547819846894581,0.011547819846894581,0.011547819846894581,0.011547819846894581,0.011547819846894581,0.011547819846894581
30,dedicated_l1w_nuclear_1d,7000,30,1e-08,"(1e-15, 0.008165541721659758)","(1e-15, 0.008165541721659758)","(5.623413251903491e-14, 0.011547819846894581)","(4.216965034285823e-09, 0.011547819846894581)","(1e-13, 0.008165541721659758)","(1e-13, 0.008165541721659758)"
30,dedicated_l1_nuclear_1d,7000,30,1e-08,"(1e-15, 0.008165541721659758)","(1e-15, 0.011547819846894581)","(1e-15, 0.011547819846894581)","(1e-15, 0.011547819846894581)","(2.053525026457146e-09, 0.008165541721659758)","(2.942727176209282e-09, 0.008165541721659758)"
30,l1,10000,30,1e-10,0.00013335214321633242,0.00013335214321633242,0.0020535250264571464,0.0023713737056616554,1e-08,3.651741272548377e-05
30,l1w,10000,30,1e-10,1e-06,4.869675251658631e-06,3.1622776601683795e-05,0.00036517412725483775,8.659643233600654e-05,8.659643233600654e-05
30,nuclear,10000,30,1e-07,0.006042963902381328,0.011547819846894581,0.011547819846894581,0.011547819846894581,0.006042963902381328,0.006042963902381328
30,dedicated_l1w_nuclear_1d,10000,30,1e-08,"(1e-15, 0.006042963902381328)","(1e-14, 0.006042963902381328)","(1.7782794100389228e-12, 0.008165541721659758)","(6.042963902381328e-09, 0.008165541721659758)","(3.1622776601683796e-14, 0.006042963902381328)","(3.1622776601683796e-14, 0.006042963902381328)"
30,dedicated_l1_nuclear_1d,10000,30,1e-08,"(1e-15, 0.006042963902381328)","(1e-15, 0.008165541721659758)","(1e-15, 0.008165541721659758)","(1e-15, 0.011547819846894581)","(1e-09, 0.006042963902381328)","(1e-09, 0.006042963902381328)"
30,l1,15000,30,1e-10,0.00020535250264571464,0.00027384196342643616,0.001778279410038923,0.0020535250264571464,7.498942093324559e-06,0.00020535250264571464
30,l1w,15000,30,1e-10,1.7782794100389227e-07,5.623413251903491e-06,2.0535250264571462e-05,1.3335214321633242e-05,0.0001,0.0001
30,nuclear,15000,30,1e-07,0.006042963902381328,0.006042963902381328,0.006042963902381328,0.006042963902381328,0.006042963902381328,0.006042963902381328
30,dedicated_l1w_nuclear_1d,15000,30,1e-08,"(1e-15, 0.004273020753839359)","(1e-15, 0.004273020753839359)","(2.053525026457146e-09, 0.006042963902381328)","(2.5482967479793465e-08, 0.006042963902381328)","(5.6234132519034904e-15, 0.004273020753839359)","(3.1622776601683794e-15, 0.004273020753839359)"
30,dedicated_l1_nuclear_1d,15000,30,1e-08,"(1e-15, 0.004273020753839359)","(1e-15, 0.004273020753839359)","(1e-15, 0.006042963902381328)","(1e-15, 0.006042963902381328)","(4.371444812611089e-08, 0.004273020753839359)","(6.264335366568855e-08, 0.004273020753839359)"
30,l1,20000,30,1e-10,5.623413251903491e-05,0.00023713737056616554,0.001778279410038923,0.001778279410038923,1e-07,4.869675251658631e-05
30,l1w,20000,30,1e-10,2.371373705661655e-07,4.869675251658631e-06,1.778279410038923e-05,1.3335214321633242e-05,0.00011547819846894584,0.00013335214321633242
30,nuclear,20000,30,1e-07,0.0031622776601683794,0.0031622776601683794,0.006042963902381328,0.006042963902381328,0.0031622776601683794,0.0031622776601683794
30,dedicated_l1w_nuclear_1d,20000,30,1e-08,"(1e-15, 0.0031622776601683794)","(1e-15, 0.0031622776601683794)","(1.7782794100389228e-08, 0.004273020753839359)","(2.5482967479793465e-08, 0.006042963902381328)","(1e-15, 0.0031622776601683794)","(1e-15, 0.0031622776601683794)"
30,dedicated_l1_nuclear_1d,20000,30,1e-08,"(1e-15, 0.004273020753839359)","(1e-15, 0.004273020753839359)","(1e-15, 0.006042963902381328)","(1e-15, 0.006042963902381328)","(2.5482967479793465e-08, 0.0031622776601683794)","(2.5482967479793465e-08, 0.0031622776601683794)"
