dim,prox,end_time,n_train,tol,alpha_auc,alphas_auc_no_diag,estimation_error,estimation_error_no_diag,kendall,kendall_no_diag
30,l1,5000,30,1e-10,0.0008659643233600654,0.0008659643233600654,0.004216965034285823,0.004869675251658632,0.0008659643233600654,0.0008659643233600654
30,l1w,5000,30,1e-10,5.623413251903491e-06,7.498942093324559e-06,0.00027384196342643616,0.00031622776601683794,4.216965034285822e-05,4.216965034285822e-05
30,nuclear,5000,30,1e-07,0.011547819846894581,0.011547819846894581,0.011547819846894581,0.0220673406908459,0.011547819846894581,0.011547819846894581
30,dedicated_l1w_nuclear_1d,5000,30,1e-08,"(2.7384196342643613e-06, 0.008165541721659758)","(3.924189758484536e-06, 0.008165541721659758)","(4.531583637600818e-07, 0.011547819846894581)","(9.305720409296991e-07, 0.011547819846894581)","(2.7384196342643613e-06, 0.008165541721659758)","(3.924189758484536e-06, 0.008165541721659758)"
30,dedicated_l1_nuclear_1d,5000,30,1e-08,"(0.0001, 0.008165541721659758)","(0.0001, 0.008165541721659758)","(0.0005623413251903491, 0.011547819846894581)","(0.0007498942093324559, 0.01560396624525097)","(0.00023713737056616554, 0.008165541721659758)","(0.00023713737056616554, 0.008165541721659758)"
30,l1,7000,30,1e-10,0.0005623413251903491,0.0006493816315762113,0.0031622776601683794,0.0031622776601683794,0.0006493816315762113,0.0006493816315762113
30,l1w,7000,30,1e-10,2.7384196342643613e-06,7.498942093324559e-06,7.498942093324559e-05,0.00036517412725483775,4.216965034285822e-05,4.216965034285822e-05
30,nuclear,7000,30,1e-07,0.0031622776601683794,0.006042963902381328,0.011547819846894581,0.011547819846894581,0.006042963902381328,0.006042963902381328
30,dedicated_l1w_nuclear_1d,7000,30,1e-08,"(5.6234132519034904e-15, 0.0031622776601683794)","(1e-14, 0.0031622776601683794)","(5.424690937011326e-07, 0.008165541721659758)","(9.305720409296991e-07, 0.008165541721659758)","(5.6234132519034904e-15, 0.0031622776601683794)","(5.6234132519034904e-15, 0.0031622776601683794)"
30,dedicated_l1_nuclear_1d,7000,30,1e-08,"(0.00023713737056616554, 0.0031622776601683794)","(0.00023713737056616554, 0.0031622776601683794)","(0.0005623413251903491, 0.011547819846894581)","(0.0005623413251903491, 0.011547819846894581)","(0.00023713737056616554, 0.0031622776601683794)","(0.00023713737056616554, 0.0031622776601683794)"
30,l1,10000,30,1e-10,0.0006493816315762113,0.0006493816315762113,0.001778279410038923,0.0020535250264571464,0.0005623413251903491,0.0006493816315762113
30,l1w,10000,30,1e-10,7.498942093324557e-08,7.498942093324559e-06,5.623413251903491e-05,6.493816315762113e-05,3.651741272548377e-05,4.216965034285822e-05
30,nuclear,10000,30,1e-07,0.0031622776601683794,0.0031622776601683794,0.011547819846894581,0.011547819846894581,0.0031622776601683794,0.0031622776601683794
30,dedicated_l1w_nuclear_1d,10000,30,1e-08,"(1.2409377607517196e-08, 0.00223606797749979)","(1.4855080171727751e-08, 0.00223606797749979)","(5.424690937011326e-07, 0.008165541721659758)","(9.305720409296991e-07, 0.008165541721659758)","(1.539926526059492e-07, 0.00223606797749979)","(2.641648320386092e-07, 0.00223606797749979)"
30,dedicated_l1_nuclear_1d,10000,30,1e-08,"(1.1547819846894583e-05, 0.0031622776601683794)","(1.1547819846894583e-05, 0.0031622776601683794)","(0.0004216965034285823, 0.008165541721659758)","(0.0004216965034285823, 0.008165541721659758)","(0.0001, 0.0031622776601683794)","(0.0001, 0.0031622776601683794)"
30,l1,15000,30,1e-10,0.00036517412725483775,0.00036517412725483775,0.001333521432163324,0.001539926526059492,0.0004216965034285823,0.0004216965034285823
30,l1w,15000,30,1e-10,2.371373705661655e-07,7.498942093324559e-06,4.216965034285822e-05,3.651741272548377e-05,4.216965034285822e-05,4.216965034285822e-05
30,nuclear,15000,30,1e-07,0.0031622776601683794,0.0031622776601683794,0.006042963902381328,0.006042963902381328,0.0031622776601683794,0.0031622776601683794
30,dedicated_l1w_nuclear_1d,15000,30,1e-08,"(1e-10, 0.00223606797749979)","(1.778279410038923e-10, 0.00223606797749979)","(4.531583637600818e-07, 0.004273020753839359)","(9.305720409296991e-07, 0.006042963902381328)","(1.8434229924091104e-07, 0.00223606797749979)","(2.641648320386092e-07, 0.00223606797749979)"
30,dedicated_l1_nuclear_1d,15000,30,1e-08,"(2.7384196342643613e-06, 0.00223606797749979)","(1.980956778550339e-05, 0.00223606797749979)","(0.00031622776601683794, 0.006042963902381328)","(0.00031622776601683794, 0.006042963902381328)","(6.978305848598664e-05, 0.00223606797749979)","(8.353625469578262e-05, 0.00223606797749979)"
30,l1,20000,30,1e-10,0.00036517412725483775,0.00036517412725483775,0.001,0.001,0.00036517412725483775,0.00036517412725483775
30,l1w,20000,30,1e-10,3.162277660168379e-07,5.623413251903491e-06,3.1622776601683795e-05,3.1622776601683795e-05,3.651741272548377e-05,4.216965034285822e-05
30,nuclear,20000,30,1e-07,0.0031622776601683794,0.0031622776601683794,0.006042963902381328,0.006042963902381328,0.0031622776601683794,0.0031622776601683794
