dim,prox,end_time,n_train,tol,alpha_auc,alphas_auc_no_diag,estimation_error,estimation_error_no_diag,kendall,kendall_no_diag
30,l1,5000,30,1e-10,0.5864408212560387,0.5858960575270503,10.444865275815234,10.733337519005751,0.1250162441540252,0.12291123822099538
30,l1w,5000,30,1e-10,0.6588607359830186,0.6587217035317338,0.4116679693730261,0.3793413072880405,0.3454960092810841,0.3598243677448989
30,nuclear,5000,30,1e-07,0.8758584211682037,0.8772726425227809,0.07275960286789304,0.07171605181684156,0.5218248551132336,0.5130970062858354
30,dedicated_l1w_nuclear_1d,5000,30,1e-08,0.8783663446054751,0.8801325678289952,0.06804938355732554,0.06658686518266453,0.5260787580219469,0.5176646709224921
30,dedicated_l1_nuclear_1d,5000,30,1e-08,0.8770913482652614,0.8786491136859509,0.07111003469638481,0.07014659051482232,0.5237918753630745,0.5151299142813927
30,l1,7000,30,1e-10,0.6016167014346363,0.6007145250149992,7.639119304292674,7.843094688712145,0.14510687200983155,0.14198418818510625
30,l1w,7000,30,1e-10,0.6744655614112136,0.6727541179419152,0.3964639326252464,0.3645960405977976,0.36589771651041225,0.3802590240568016
30,nuclear,7000,30,1e-07,0.8959296772068509,0.8953944327635228,0.06105359134194186,0.05982000916883945,0.5479896806773428,0.5370728204314862
30,dedicated_l1w_nuclear_1d,7000,30,1e-08,0.9055948433611476,0.9053870866381576,0.05911099250138795,0.05774938231588509,0.5614478887928313,0.5508880498637442
30,dedicated_l1_nuclear_1d,7000,30,1e-08,0.9000773129849217,0.8997405795215616,0.06024273270029474,0.0591744023910278,0.5533313938861671,0.5424211406923768
30,l1,10000,30,1e-10,0.6167397708973794,0.6151110367928422,5.3379017641002315,5.487809846694474,0.16731137865739604,0.16297723180180354
30,l1w,10000,30,1e-10,0.6921201690821257,0.6904749035514385,0.3797927321804676,0.34977137668965336,0.3863073313699593,0.4006010751347231
30,nuclear,10000,30,1e-07,0.9141301054018444,0.9142442411028568,0.05638785690455935,0.05504443994196951,0.5744768204044478,0.5638939382146584
30,dedicated_l1w_nuclear_1d,10000,30,1e-08,0.9199324403454838,0.9202710078479698,0.0532939934682819,0.05257917321182359,0.5829378599298322,0.5726565131896809
30,dedicated_l1_nuclear_1d,10000,30,1e-08,0.9161721929439324,0.9163894549441896,0.056142381247105584,0.05501613254439998,0.5772759549718918,0.5666777981904667
30,l1,15000,30,1e-10,0.6400398733713951,0.6378889614407904,3.630711707988478,3.726866877565964,0.19822952887388506,0.19280706938476336
30,l1w,15000,30,1e-10,0.7145834797247841,0.7127541630824129,0.3645002987000008,0.3359387143769453,0.40682490449658654,0.4212294484328024
30,nuclear,15000,30,1e-07,0.9271149172888304,0.9278498226665356,0.04724235004466888,0.04699844875398238,0.5948138816845746,0.5846261222695581
30,dedicated_l1w_nuclear_1d,15000,30,1e-08,0.9297941736202606,0.9306383278546508,0.044682317904628316,0.04406382041685624,0.5991203143368146,0.5890715065788089
30,dedicated_l1_nuclear_1d,15000,30,1e-08,0.9280920619235836,0.9288836381985172,0.04731490762743197,0.04711389358212535,0.5960392646567773,0.5857761643431938
30,l1,20000,30,1e-10,0.655565144195579,0.6531177560540767,2.6816563037806493,2.7551169658730204,0.22244685478434711,0.2158270675029225
30,l1w,20000,30,1e-10,0.7291234079929733,0.7266503513206442,0.3555034394531881,0.32801173609387235,0.4166845362098995,0.43134675026166935
30,nuclear,20000,30,1e-07,0.9376001317523058,0.9372202245916402,0.041424184204176685,0.041034740258850184,0.6135209656983152,0.6020409164269276
30,dedicated_l1w_nuclear_1d,20000,30,1e-08,0.9442504208754208,0.9440551828847642,0.040014252596743266,0.039419368232342496,0.6240668560372156,0.6129227494765883
30,dedicated_l1_nuclear_1d,20000,30,1e-08,0.9398774520567997,0.9395324582749696,0.04174155867273511,0.041469809311806244,0.6163811013681336,0.6047727313890859
