dim,prox,end_time,n_train,tol,alpha_auc,alphas_auc_no_diag,estimation_error,estimation_error_no_diag,kendall,kendall_no_diag
30,l1,5000,30,1e-10,0.0061097235940184074,0.005945192835819519,1.2378644092307811,1.3276612322979018,0.007599425135699797,0.0067241726259203395
30,l1w,5000,30,1e-10,0.006611462520081529,0.007393731372718769,0.008484241250404676,0.008706051982945662,0.01130958116319038,0.012020903643342221
30,nuclear,5000,30,1e-07,0.006631883387941611,0.00658692870171204,0.005090450851310808,0.0040854255989229505,0.011255755018098848,0.010881148660829879
30,dedicated_l1w_nuclear_1d,5000,30,1e-08,0.006571271364007189,0.006057294840445835,0.004619241433757204,0.003919866001987406,0.010448788473749145,0.009820213178365029
30,dedicated_l1_nuclear_1d,5000,30,1e-08,0.0049523117149421906,0.005133916339051922,0.004382318972423034,0.0038976892983197736,0.008479148862666396,0.008469647662643385
30,l1,7000,30,1e-10,0.0062671490436468115,0.0063753493823461155,1.0856646988964105,1.1870586069844828,0.007522810499949874,0.007725011765204339
30,l1w,7000,30,1e-10,0.007681711408018797,0.006177005401979722,0.017710567733963144,0.0104157606724459,0.008597630394588303,0.009036872231986456
30,nuclear,7000,30,1e-07,0.009606925628226012,0.005565248608913061,0.004350582423170547,0.004272106090322535,0.009390826488778502,0.009169512076470251
30,dedicated_l1w_nuclear_1d,7000,30,1e-08,0.008238672557487689,0.007996249145294879,0.004322141000027325,0.004084507596503098,0.011422755067826171,0.010922392189884129
30,dedicated_l1_nuclear_1d,7000,30,1e-08,0.008856464726112474,0.008949689902397365,0.004387425225263683,0.00424803635690444,0.012055801766603973,0.01193884291236065
30,l1,10000,30,1e-10,0.006581529697063972,0.00732545882525275,0.8012649460081629,0.8749501193198244,0.007660550374884901,0.008464857595226184
30,l1w,10000,30,1e-10,0.007340758205958823,0.00874254047095414,0.014259826480949298,0.016016862105138724,0.011439289127351359,0.012772832595481577
30,nuclear,10000,30,1e-07,0.0064571827525575325,0.0064376612997635784,0.003931920204104552,0.003831329477315733,0.009749239530858376,0.009502795138644543
30,dedicated_l1w_nuclear_1d,10000,30,1e-08,0.005862482926354771,0.006163811624035781,0.0033973709260368525,0.0031726909534254906,0.00927109572880626,0.009385210093377266
30,dedicated_l1_nuclear_1d,10000,30,1e-08,0.006865973251644639,0.006711153154604656,0.003839080918805839,0.0037115254000243494,0.010446966731619965,0.010089385642352884
30,l1,15000,30,1e-10,0.004388648964296468,0.004563902529958689,0.5150384488269023,0.5601037798705604,0.0054865375674793574,0.0057311482347743355
30,l1w,15000,30,1e-10,0.005973508595410271,0.006398936691731405,0.013921408542856787,0.015795026581289968,0.0073702130111618375,0.008107725888280036
30,nuclear,15000,30,1e-07,0.008152037447674735,0.008044933659332709,0.003262213837166032,0.003258519294807329,0.012938861493592156,0.012590821674456418
30,dedicated_l1w_nuclear_1d,15000,30,1e-08,0.006715833056555649,0.006879724249680239,0.003365660623555357,0.002611143492337333,0.01085349837443544,0.010904152914010387
30,dedicated_l1_nuclear_1d,15000,30,1e-08,0.006622882713361279,0.006778541349166685,0.003018599348107275,0.00291993245022142,0.010845248296887431,0.010803081941059457
30,l1,20000,30,1e-10,0.007801909375042809,0.008518919130216903,0.3914388545927584,0.4282755706261849,0.0094910743296384,0.010273691951572215
30,l1w,20000,30,1e-10,0.008581888109342262,0.008065589297906453,0.015761256222273173,0.01536273585556737,0.007638087645140075,0.008847942115093361
30,nuclear,20000,30,1e-07,0.007405882413049964,0.007154815359631647,0.0029798591064435155,0.0031309615484067512,0.01213297280812349,0.011587986442388256
30,dedicated_l1w_nuclear_1d,20000,30,1e-08,0.0041134346100590346,0.0040840115020816,0.004353326483639488,0.004159994755577695,0.008128208904914178,0.007825910887607451
30,dedicated_l1_nuclear_1d,20000,30,1e-08,0.004348911900505038,0.0042574215739618676,0.003984739380766079,0.0027490136316112783,0.007416752598570664,0.007121624583357721
