dim,prox,end_time,n_train,tol,alpha_auc,alphas_auc_no_diag,estimation_error,estimation_error_no_diag,kendall,kendall_no_diag
30,l1,5000,30,1e-10,0.004350182163967036,0.0046689289215776,0.4527897295884737,0.4842996098912268,0.008762914039060606,0.009136614820394195
30,l1w,5000,30,1e-10,0.005498885985776042,0.005983638533130654,0.011329985970042252,0.011925858525675587,0.007520218974473017,0.007629742321052821
30,nuclear,5000,30,1e-07,0.0018055588545275367,0.0014546543629194925,0.003824801354765789,0.0036661445969066063,0.008917221111670866,0.008933030642193349
30,dedicated_l1w_nuclear_1d,5000,30,1e-08,0.0016080619228714898,0.001170895108282414,0.003834773565303885,0.0036282804602895814,0.009701831899005071,0.009304448078828692
30,dedicated_l1_nuclear_1d,5000,30,1e-08,0.0017845690238238933,0.0014095315629173676,0.003756759746338258,0.0035907480136767103,0.00931227462173782,0.009377152950977005
30,l1,7000,30,1e-10,0.005008144746027358,0.005327015241603661,0.26887485211750795,0.2787916154843049,0.00889961047769266,0.009913683497812431
30,l1w,7000,30,1e-10,0.004732287882752384,0.005867901672320253,0.011644428637662192,0.01224312051696282,0.008769760276395968,0.009063607366046715
30,nuclear,7000,30,1e-07,0.0009352017524469539,0.0007090701111899518,0.002793094660391377,0.002703079605271793,0.0076431935152692435,0.007781989969416416
30,dedicated_l1w_nuclear_1d,7000,30,1e-08,0.0015783748027609619,0.0012719773237136766,0.002804185583983232,0.002718008101464159,0.007380287288296341,0.007462767887854062
30,dedicated_l1_nuclear_1d,7000,30,1e-08,0.0019256467875907047,0.0007143896368093013,0.0027265580084909844,0.0026344365923890905,0.0073861010140548735,0.007575194810821794
30,l1,10000,30,1e-10,0.006920760970535855,0.0073774050166479956,0.2592293986901166,0.27309071525350953,0.009405009511905977,0.009953231535332176
30,l1w,10000,30,1e-10,0.00653425227349843,0.005643533988432161,0.016374161092460426,0.00862995264524845,0.007496735139307269,0.007155328214043993
30,nuclear,10000,30,1e-07,0.0016604269795924204,0.00034874257827059425,0.002598602304098114,0.0025705564354391265,0.009235321795113029,0.009392993326592741
30,dedicated_l1w_nuclear_1d,10000,30,1e-08,0.0014253098281877276,0.0009863368194455923,0.0024988107771590122,0.0024263964707517283,0.007831287696060774,0.007841071563174155
30,dedicated_l1_nuclear_1d,10000,30,1e-08,0.0016737594931991676,0.0005290067608846865,0.0027119307521596115,0.002537127730094887,0.00794785318793198,0.007946044493245059
30,l1,15000,30,1e-10,0.006386854685341369,0.00690373503001374,0.13369996747764806,0.1383118531313453,0.009999827625758394,0.010642362138499391
30,l1w,15000,30,1e-10,0.0046309390910081755,0.004941417294582983,0.017963029674761717,0.01648618076305794,0.007896955784021059,0.007429957734488154
30,nuclear,15000,30,1e-07,0.0016290022360761372,0.001019239474728857,0.002388073036184448,0.0023911640400447022,0.00607855596718113,0.006616595827357114
30,dedicated_l1w_nuclear_1d,15000,30,1e-08,0.0016681163578790555,0.0011091350856072377,0.0019307419498927555,0.001822654859264149,0.006452292577328829,0.006925082409838357
30,dedicated_l1_nuclear_1d,15000,30,1e-08,0.0017466549208477928,0.0013303172550984713,0.002179909475548086,0.00216093473461828,0.006275540338035577,0.006777483184149576
30,l1,20000,30,1e-10,0.005800196304213959,0.0064200207761527656,0.10874006637678646,0.11444294634027632,0.008664747353194809,0.009214104740623558
30,l1w,20000,30,1e-10,0.006353332837937939,0.006283792610186178,0.01443988359592419,0.014219123522762741,0.00778016763863176,0.007220233707213355
30,nuclear,20000,30,1e-07,0.0009953323829186454,0.0008830803581711949,0.0014365331956590216,0.0014592950652154105,0.007301888871699573,0.007804389083450241
30,dedicated_l1w_nuclear_1d,20000,30,1e-08,0.0007376211836805929,0.0005286957115164188,0.0017521319516581415,0.001479664683361149,0.007308678152863745,0.0077955584564330434
30,dedicated_l1_nuclear_1d,20000,30,1e-08,0.0009351026726107596,0.000538221173068856,0.0015431877894904384,0.0015777477157253876,0.0072498772610981406,0.00779280043151608
