dim,prox,end_time,n_train,tol,alpha_auc,alphas_auc_no_diag,estimation_error,estimation_error_no_diag,kendall,kendall_no_diag
30,l1,5000,30,1e-10,0.638884683760684,0.6395126910413289,16.621872628657492,17.730928369059104,0.17959539368788088,0.17713943811018698
30,l1w,5000,30,1e-10,0.7285732649572652,0.7401805678411714,0.4368517572923661,0.3849606121300308,0.5204460681223746,0.5409717746374471
30,nuclear,5000,30,1e-07,0.8967535954415955,0.9008028394106179,0.09987698658277593,0.08974312250256902,0.5145043320073005,0.5043937055234976
30,dedicated_l1w_nuclear_1d,5000,30,1e-08,0.8957798974358973,0.9007504719724144,0.08677190926592583,0.07549112096238968,0.513009630188842,0.5049296112858622
30,dedicated_l1_nuclear_1d,5000,30,1e-08,0.8899570142450142,0.8939463139056792,0.09088311317496987,0.0809005136587939,0.5039010551044674,0.4939842306334741
30,l1,7000,30,1e-10,0.6561637150997152,0.6566642684120432,11.894819511018007,12.695132857896832,0.20494858283424675,0.2007182846973234
30,l1w,7000,30,1e-10,0.7505888888888889,0.7614447167755991,0.4140657082739167,0.3735754001103469,0.5476862667175811,0.5674886787604346
30,nuclear,7000,30,1e-07,0.9067129116809116,0.9097971132897604,0.08753261551855084,0.07884997617447694,0.5307666511952769,0.5189771871970891
30,dedicated_l1w_nuclear_1d,7000,30,1e-08,0.9315449344729346,0.932322099161302,0.07698032488345043,0.06732648676439439,0.5646587410877987,0.5495533758900202
30,dedicated_l1_nuclear_1d,7000,30,1e-08,0.9185839544159544,0.9192715499942667,0.08187000309836548,0.07238122221313442,0.5460911506528716,0.5314740588660962
30,l1,10000,30,1e-10,0.6762515555555556,0.6756716264722264,8.406788306897989,8.98189732265386,0.2313417505541357,0.22510975341621425
30,l1w,10000,30,1e-10,0.7714702905982905,0.7828493824430357,0.3825638375252555,0.3625370479542628,0.5781326128439964,0.5978951512609345
30,nuclear,10000,30,1e-07,0.9351228490028488,0.9363253671351582,0.08121369185309593,0.07200332789930126,0.569858670789832,0.5548142553082491
30,dedicated_l1w_nuclear_1d,10000,30,1e-08,0.9499644444444444,0.950272459129851,0.07154501432612817,0.062074615769745066,0.5943939877852665,0.5784582590649306
30,dedicated_l1_nuclear_1d,10000,30,1e-08,0.9397611396011396,0.9410954111176636,0.07511728231432242,0.06707101162721804,0.5776672189733582,0.5627716915842321
30,l1,15000,30,1e-10,0.7043233048433051,0.7039249983619178,5.328991039407688,5.677889166152951,0.26979935466167393,0.26208300669668433
30,l1w,15000,30,1e-10,0.7973830085470085,0.8081589799662555,0.3463834842898597,0.3233530483436511,0.6155008297918132,0.6363307768978496
30,nuclear,15000,30,1e-07,0.9472432592592592,0.9490320726243714,0.07196429124282,0.06525799303127168,0.5902159743282849,0.575406164475885
30,dedicated_l1w_nuclear_1d,15000,30,1e-08,0.9662639544159544,0.9671152196258621,0.06276291594228246,0.054856202892162725,0.6227488978247521,0.6067558928988986
30,dedicated_l1_nuclear_1d,15000,30,1e-08,0.9546913960113961,0.9555069249922192,0.06687827201980176,0.05953756147781556,0.6032046035048815,0.5872581902272903
30,l1,20000,30,1e-10,0.7249517492877493,0.7236304609563124,4.034592787180966,4.306520357581968,0.2973705740377281,0.2884681327038878
30,l1w,20000,30,1e-10,0.8182977094017094,0.8279457707790719,0.3174050572081227,0.2915611066342653,0.64114907189166,0.6626362593583275
30,nuclear,20000,30,1e-07,0.9568333675213676,0.9585678606237816,0.06640731634674481,0.059566533286851374,0.606283084894569,0.5909759521564375
30,dedicated_l1w_nuclear_1d,20000,30,1e-08,0.9760368547008548,0.9768639838976528,0.05432722344095619,0.04933358078413631,0.6399253504476512,0.6230046949852573
30,dedicated_l1_nuclear_1d,20000,30,1e-08,0.9678577549857551,0.9687365370124656,0.06125245568429459,0.05531102072113416,0.6250564817893924,0.6084553537007847
